0.5 0.3; 30.0 30.0 30.0 -60.0; 0.2 0.2 0.2 0.2
0.5 0.3; 29.98522653 30.05704926 30.0158083 -59.96370766; 0.1999393 0.19997584 0.19975142 0.19976062
0.5 0.3; 29.97045306 30.11409852 30.03161661 -59.92741532; 0.19987859 0.19995167 0.19950284 0.19952123
0.5 0.3; 29.95567959 30.17114778 30.04742491 -59.89112298; 0.19981789 0.19992751 0.19925426 0.19928185
0.5 0.3; 29.94090612 30.22819704 30.06323322 -59.85483065; 0.19975719 0.19990334 0.19900568 0.19904247
0.5 0.3; 29.92613265 30.2852463 30.07904152 -59.81853831; 0.19969648 0.19987918 0.1987571 0.19880308
0.5 0.3; 29.91135918 30.34229556 30.09484983 -59.78224597; 0.19963578 0.19985502 0.19850852 0.1985637
0.5 0.3; 29.89658571 30.39934482 30.11065813 -59.74595363; 0.19957508 0.19983085 0.19825994 0.19832431
0.5 0.3; 29.88181224 30.45639408 30.12646643 -59.70966129; 0.19951437 0.19980669 0.19801136 0.19808493
0.5 0.3; 29.86703877 30.51344334 30.14227474 -59.67336895; 0.19945367 0.19978252 0.19776278 0.19784555
0.5 0.3; 29.8522653 30.5704926 30.15808304 -59.63707661; 0.19939297 0.19975836 0.19751421 0.19760616
0.5 0.3; 29.83749183 30.62754186 30.17389135 -59.60078427; 0.19933226 0.1997342 0.19726563 0.19736678
0.5 0.3; 29.82271837 30.68459112 30.18969965 -59.56449194; 0.19927156 0.19971003 0.19701705 0.1971274
0.5 0.3; 29.8079449 30.74164038 30.20550796 -59.5281996; 0.19921086 0.19968587 0.19676847 0.19688801
0.5 0.3; 29.79317143 30.79868964 30.22131626 -59.49190726; 0.19915015 0.1996617 0.19651989 0.19664863
0.5 0.3; 29.77839796 30.8557389 30.23712456 -59.45561492; 0.19908945 0.19963754 0.19627131 0.19640925
0.5 0.3; 29.76362449 30.91278816 30.25293287 -59.41932258; 0.19902875 0.19961337 0.19602273 0.19616986
0.5 0.3; 29.74885102 30.96983742 30.26874117 -59.38303024; 0.19896804 0.19958921 0.19577415 0.19593048
0.5 0.3; 29.73407755 31.02688668 30.28454948 -59.3467379; 0.19890734 0.19956505 0.19552557 0.19569109
0.5 0.3; 29.71930408 31.08393594 30.30035778 -59.31044556; 0.19884664 0.19954088 0.19527699 0.19545171
0.5 0.3; 29.70453061 31.1409852 30.31616609 -59.27415323; 0.19878593 0.19951672 0.19502841 0.19521233
0.5 0.3; 29.68975714 31.19803446 30.33197439 -59.23786089; 0.19872523 0.19949255 0.19477983 0.19497294
0.5 0.3; 29.67498367 31.25508372 30.34778269 -59.20156855; 0.19866452 0.19946839 0.19453125 0.19473356
0.5 0.3; 29.6602102 31.31213298 30.363591 -59.16527621; 0.19860382 0.19944423 0.19428267 0.19449418
0.5 0.3; 29.64543673 31.36918224 30.3793993 -59.12898387; 0.19854312 0.19942006 0.19403409 0.19425479
0.5 0.3; 29.63066326 31.4262315 30.39520761 -59.09269153; 0.19848241 0.1993959 0.19378551 0.19401541
0.5 0.3; 29.61588979 31.48328076 30.41101591 -59.05639919; 0.19842171 0.19937173 0.19353693 0.19377603
0.5 0.3; 29.60111632 31.54033002 30.42682422 -59.02010685; 0.19836101 0.19934757 0.19328835 0.19353664
0.5 0.3; 29.58634285 31.59737928 30.44263252 -58.98381452; 0.1983003 0.19932341 0.19303978 0.19329726
0.5 0.3; 29.57156938 31.65442854 30.45844082 -58.94752218; 0.1982396 0.19929924 0.1927912 0.19305787
0.5 0.3; 29.55679591 31.7114778 30.47424913 -58.91122984; 0.1981789 0.19927508 0.19254262 0.19281849
0.5 0.3; 29.54202244 31.76852706 30.49005743 -58.8749375; 0.19811819 0.19925091 0.19229404 0.19257911
0.5 0.3; 29.52724897 31.82557632 30.50586574 -58.83864516; 0.19805749 0.19922675 0.19204546 0.19233972
0.5 0.3; 29.5124755 31.88262558 30.52167404 -58.80235282; 0.19799679 0.19920259 0.19179688 0.19210034
0.5 0.3; 29.49770203 31.93967484 30.53748234 -58.76606048; 0.19793608 0.19917842 0.1915483 0.19186096
0.5 0.3; 29.48292857 31.9967241 30.55329065 -58.72976815; 0.19787538 0.19915426 0.19129972 0.19162157
0.5 0.3; 29.4681551 32.05377336 30.56909895 -58.69347581; 0.19781468 0.19913009 0.19105114 0.19138219
0.5 0.3; 29.45338163 32.11082262 30.58490726 -58.65718347; 0.19775397 0.19910593 0.19080256 0.1911428
0.5 0.3; 29.43860816 32.16787188 30.60071556 -58.62089113; 0.19769327 0.19908177 0.19055398 0.19090342
0.5 0.3; 29.42383469 32.22492114 30.61652387 -58.58459879; 0.19763257 0.1990576 0.1903054 0.19066404
0.5 0.3; 29.40906122 32.2819704 30.63233217 -58.54830645; 0.19757186 0.19903344 0.19005682 0.19042465
0.5 0.3; 29.39428775 32.33901966 30.64814047 -58.51201411; 0.19751116 0.19900927 0.18980824 0.19018527
0.5 0.3; 29.37951428 32.39606892 30.66394878 -58.47572177; 0.19745046 0.19898511 0.18955966 0.18994589
0.5 0.3; 29.36474081 32.45311818 30.67975708 -58.43942944; 0.19738975 0.19896095 0.18931108 0.1897065
0.5 0.3; 29.34996734 32.51016744 30.69556539 -58.4031371; 0.19732905 0.19893678 0.1890625 0.18946712
0.5 0.3; 29.33519387 32.5672167 30.71137369 -58.36684476; 0.19726835 0.19891262 0.18881392 0.18922774
0.5 0.3; 29.3204204 32.62426596 30.727182 -58.33055242; 0.19720764 0.19888845 0.18856535 0.18898835
0.5 0.3; 29.30564693 32.68131522 30.7429903 -58.29426008; 0.19714694 0.19886429 0.18831677 0.18874897
0.5 0.3; 29.29087346 32.73836448 30.7587986 -58.25796774; 0.19708624 0.19884012 0.18806819 0.18850958
0.5 0.3; 29.27609999 32.79541374 30.77460691 -58.2216754; 0.19702553 0.19881596 0.18781961 0.1882702
0.5 0.3; 29.26132652 32.852463 30.79041521 -58.18538306; 0.19696483 0.1987918 0.18757103 0.18803082
0.5 0.3; 29.24655305 32.90951226 30.80622352 -58.14909073; 0.19690413 0.19876763 0.18732245 0.18779143
0.5 0.3; 29.23177958 32.96656152 30.82203182 -58.11279839; 0.19684342 0.19874347 0.18707387 0.18755205
0.5 0.3; 29.21700611 33.02361078 30.83784013 -58.07650605; 0.19678272 0.1987193 0.18682529 0.18731267
0.5 0.3; 29.20223264 33.08066004 30.85364843 -58.04021371; 0.19672202 0.19869514 0.18657671 0.18707328
0.5 0.3; 29.18745917 33.1377093 30.86945673 -58.00392137; 0.19666131 0.19867098 0.18632813 0.1868339
0.5 0.3; 29.1726857 33.19475856 30.88526504 -57.96762903; 0.19660061 0.19864681 0.18607955 0.18659452
0.5 0.3; 29.15791223 33.25180782 30.90107334 -57.93133669; 0.19653991 0.19862265 0.18583097 0.18635513
0.5 0.3; 29.14313876 33.30885708 30.91688165 -57.89504436; 0.1964792 0.19859848 0.18558239 0.18611575
0.5 0.3; 29.1283653 33.36590634 30.93268995 -57.85875202; 0.1964185 0.19857432 0.18533381 0.18587636
0.5 0.3; 29.11359183 33.4229556 30.94849826 -57.82245968; 0.19635779 0.19855016 0.18508523 0.18563698
0.5 0.3; 29.09881836 33.48000486 30.96430656 -57.78616734; 0.19629709 0.19852599 0.18483665 0.1853976
0.5 0.3; 29.08404489 33.53705412 30.98011486 -57.749875; 0.19623639 0.19850183 0.18458807 0.18515821
0.5 0.3; 29.06927142 33.59410338 30.99592317 -57.71358266; 0.19617568 0.19847766 0.18433949 0.18491883
0.5 0.3; 29.05449795 33.65115264 31.01173147 -57.67729032; 0.19611498 0.1984535 0.18409091 0.18467945
0.5 0.3; 29.03972448 33.7082019 31.02753978 -57.64099798; 0.19605428 0.19842934 0.18384234 0.18444006
0.5 0.3; 29.02495101 33.76525116 31.04334808 -57.60470565; 0.19599357 0.19840517 0.18359376 0.18420068
0.5 0.3; 29.01017754 33.82230042 31.05915639 -57.56841331; 0.19593287 0.19838101 0.18334518 0.1839613
0.5 0.3; 28.99540407 33.87934968 31.07496469 -57.53212097; 0.19587217 0.19835684 0.1830966 0.18372191
0.5 0.3; 28.9806306 33.93639894 31.09077299 -57.49582863; 0.19581146 0.19833268 0.18284802 0.18348253
0.5 0.3; 28.96585713 33.9934482 31.1065813 -57.45953629; 0.19575076 0.19830852 0.18259944 0.18324314
0.5 0.3; 28.95108366 34.05049746 31.1223896 -57.42324395; 0.19569006 0.19828435 0.18235086 0.18300376
0.5 0.3; 28.93631019 34.10754672 31.13819791 -57.38695161; 0.19562935 0.19826019 0.18210228 0.18276438
0.5 0.3; 28.92153672 34.16459598 31.15400621 -57.35065927; 0.19556865 0.19823602 0.1818537 0.18252499
0.5 0.3; 28.90676325 34.22164524 31.16981452 -57.31436694; 0.19550795 0.19821186 0.18160512 0.18228561
0.5 0.3; 28.89198978 34.2786945 31.18562282 -57.2780746; 0.19544724 0.1981877 0.18135654 0.18204623
0.5 0.3; 28.87721631 34.33574376 31.20143112 -57.24178226; 0.19538654 0.19816353 0.18110796 0.18180684
0.5 0.3; 28.86244284 34.39279302 31.21723943 -57.20548992; 0.19532584 0.19813937 0.18085938 0.18156746
0.5 0.3; 28.84766937 34.44984228 31.23304773 -57.16919758; 0.19526513 0.1981152 0.1806108 0.18132808
0.5 0.3; 28.8328959 34.50689154 31.24885604 -57.13290524; 0.19520443 0.19809104 0.18036222 0.18108869
0.5 0.3; 28.81812243 34.5639408 31.26466434 -57.0966129; 0.19514373 0.19806687 0.18011364 0.18084931
0.5 0.3; 28.80334896 34.62099006 31.28047265 -57.06032056; 0.19508302 0.19804271 0.17986506 0.18060992
0.5 0.3; 28.7885755 34.67803932 31.29628095 -57.02402823; 0.19502232 0.19801855 0.17961648 0.18037054
0.5 0.3; 28.77380203 34.73508858 31.31208925 -56.98773589; 0.19496162 0.19799438 0.17936791 0.18013116
0.5 0.3; 28.75902856 34.79213784 31.32789756 -56.95144355; 0.19490091 0.19797022 0.17911933 0.17989177
0.5 0.3; 28.74425509 34.8491871 31.34370586 -56.91515121; 0.19484021 0.19794605 0.17887075 0.17965239
0.5 0.3; 28.72948162 34.90623636 31.35951417 -56.87885887; 0.19477951 0.19792189 0.17862217 0.17941301
0.5 0.3; 28.71470815 34.96328562 31.37532247 -56.84256653; 0.1947188 0.19789773 0.17837359 0.17917362
0.5 0.3; 28.69993468 35.02033488 31.39113078 -56.80627419; 0.1946581 0.19787356 0.17812501 0.17893424
0.5 0.3; 28.68516121 35.07738414 31.40693908 -56.76998186; 0.1945974 0.1978494 0.17787643 0.17869486
0.5 0.3; 28.67038774 35.1344334 31.42274738 -56.73368952; 0.19453669 0.19782523 0.17762785 0.17845547
0.5 0.3; 28.65561427 35.19148266 31.43855569 -56.69739718; 0.19447599 0.19780107 0.17737927 0.17821609
0.5 0.3; 28.6408408 35.24853192 31.45436399 -56.66110484; 0.19441529 0.19777691 0.17713069 0.1779767
0.5 0.3; 28.62606733 35.30558118 31.4701723 -56.6248125; 0.19435458 0.19775274 0.17688211 0.17773732
0.5 0.3; 28.61129386 35.36263044 31.4859806 -56.58852016; 0.19429388 0.19772858 0.17663353 0.17749794
0.5 0.3; 28.59652039 35.4196797 31.50178891 -56.55222782; 0.19423318 0.19770441 0.17638495 0.17725855
0.5 0.3; 28.58174692 35.47672896 31.51759721 -56.51593548; 0.19417247 0.19768025 0.17613637 0.17701917
0.5 0.3; 28.56697345 35.53377822 31.53340551 -56.47964315; 0.19411177 0.19765609 0.17588779 0.17677979
0.5 0.3; 28.55219998 35.59082748 31.54921382 -56.44335081; 0.19405107 0.19763192 0.17563921 0.1765404
0.5 0.3; 28.53742651 35.64787674 31.56502212 -56.40705847; 0.19399036 0.19760776 0.17539063 0.17630102
0.5 0.3; 28.52265304 35.704926 31.58083043 -56.37076613; 0.19392966 0.19758359 0.17514205 0.17606163
